model-1589910291,1589910298.544,0.57,0.2423,0.57,0.244
model-1589910291,1589910298.645,0.75,0.2272,0.61,0.2367
model-1589910291,1589910298.746,0.52,0.2481,0.59,0.2431
model-1589910291,1589910298.849,0.62,0.2349,0.58,0.2377
model-1589910291,1589910298.952,0.61,0.2346,0.6,0.2425
model-1589910291,1589910299.058,0.59,0.2415,0.66,0.2273
model-1589910291,1589910299.168,0.65,0.2244,0.65,0.2271
model-1589910291,1589910299.273,0.5,0.2588,0.62,0.2295
model-1589910291,1589910299.398,0.57,0.2442,0.5,0.2514
model-1589910291,1589910299.518,0.56,0.2413,0.59,0.237
model-1589910291,1589910299.638,0.65,0.2306,0.68,0.226
model-1589910291,1589910299.742,0.74,0.2306,0.62,0.2364
model-1589910291,1589910299.849,0.61,0.2298,0.61,0.2342
model-1589910291,1589910299.969,0.64,0.2338,0.65,0.2293
model-1589910291,1589910300.071,0.56,0.2382,0.61,0.2398
model-1589910291,1589910300.167,0.6,0.2438,0.63,0.2352
model-1589910291,1589910300.265,0.68,0.2191,0.46,0.2613
model-1589910291,1589910300.363,0.71,0.2121,0.58,0.2491
model-1589910291,1589910300.463,0.58,0.2449,0.62,0.244
model-1589910291,1589910300.554,0.64,0.2369,0.52,0.2546
model-1589910291,1589910300.645,0.51,0.2523,0.57,0.2475
model-1589910291,1589910300.74,0.56,0.2468,0.6,0.2317
model-1589910291,1589910300.829,0.54,0.2433,0.64,0.2327
model-1589910291,1589910300.928,0.54,0.2472,0.51,0.2544
model-1589910291,1589910301.022,0.58,0.2424,0.62,0.2376
model-1589910291,1589910301.113,0.57,0.2392,0.69,0.2146
model-1589910291,1589910301.208,0.61,0.2272,0.73,0.2154
model-1589910291,1589910301.306,0.66,0.2205,0.63,0.2308
model-1589910291,1589910301.409,0.62,0.223,0.66,0.2192
model-1589910291,1589910301.499,0.59,0.2336,0.62,0.2306
model-1589910291,1589910301.603,0.64,0.2184,0.63,0.234
model-1589910291,1589910301.705,0.63,0.2334,0.57,0.2405
model-1589910291,1589910301.804,0.65,0.226,0.57,0.2404
model-1589910291,1589910301.898,0.52,0.2572,0.64,0.2319
model-1589910291,1589910301.992,0.51,0.2551,0.64,0.2263
model-1589910291,1589910302.085,0.61,0.2261,0.64,0.234
model-1589910291,1589910302.181,0.6,0.222,0.54,0.2513
model-1589910291,1589910302.287,0.67,0.2157,0.59,0.2425
model-1589910291,1589910302.385,0.55,0.2672,0.58,0.2448
model-1589910291,1589910302.494,0.56,0.2398,0.47,0.2709
model-1589910291,1589910302.599,0.57,0.2356,0.65,0.2268
model-1589910291,1589910302.701,0.72,0.2101,0.57,0.228
model-1589910291,1589910302.805,0.68,0.2142,0.53,0.2499
model-1589910291,1589910302.92,0.58,0.2472,0.6,0.2376
model-1589910291,1589910303.03,0.47,0.2741,0.58,0.239
model-1589910291,1589910303.158,0.57,0.2308,0.66,0.2303
model-1589910291,1589910303.288,0.63,0.2308,0.6,0.238
model-1589910291,1589910303.409,0.64,0.2326,0.68,0.2233
model-1589910291,1589910303.533,0.58,0.2342,0.69,0.2172
model-1589910291,1589910303.628,0.63,0.2287,0.66,0.2257
